dataset,C_DC_5,C_SC_9,bucket,n,min_value,max_value,share
Aretail,4,1,Zero (== 0),1755,0,0,21.7
Aretail,4,1,< 0.5 (non-zero),1054,0.0003286,0.499706745,13.1
Aretail,4,1,0.5 to < Q3,3359,0.500454783,6.183353424,41.6
Aretail,4,4,Top 25% (>= Q3),781,6.226062298,30.98924065,6.8
Aretail,4,4,Zero (== 0),1546,0,0,13.4
Aretail,4,4,< 0.5 (non-zero),1785,0.000507414,0.499476016,15.5
Aretail,4,4,0.5 to < Q3,7394,0.500083208,6.186569214,64.3
Aretail,4,5,Top 25% (>= Q3),0,,,0
Aretail,4,5,Zero (== 0),44,0,0,6.7
Aretail,4,5,< 0.5 (non-zero),33,0.012479424,0.499978602,5
Aretail,4,5,0.5 to < Q3,580,0.518046796,5.688053608,88.3
Aretail,4,6,Top 25% (>= Q3),7,6.214565277,6.457769871,0.4
Aretail,4,6,Zero (== 0),293,0,0,16.3
Aretail,4,6,< 0.5 (non-zero),343,0.000494421,0.498419881,19.1
Aretail,4,6,0.5 to < Q3,1154,0.505859494,6.206326485,64.2
Aretail,4,7,Top 25% (>= Q3),27558,6.214287758,197.5143585,17.9
Aretail,4,7,Zero (== 0),20265,0,0,13.1
Aretail,4,7,< 0.5 (non-zero),21876,1.16229E-05,0.499998629,14.2
Aretail,4,7,0.5 to < Q3,84586,0.500021577,6.213742256,54.8
Aretail,4,8,Top 25% (>= Q3),2526,6.216252804,30.58322334,33.2
Aretail,4,8,Zero (== 0),8,0,0,0.1
Aretail,4,8,< 0.5 (non-zero),312,0.002741218,0.499936104,4.1
Aretail,4,8,0.5 to < Q3,4770,0.500844717,6.212314129,62.6
Aretail,5,5,Top 25% (>= Q3),0,,,0
Aretail,5,5,Zero (== 0),3,0,0,12.5
Aretail,5,5,< 0.5 (non-zero),0,,,0
Aretail,5,5,0.5 to < Q3,21,2.194665909,4.127182961,87.5
Aretail,5,6,Top 25% (>= Q3),0,,,0
Aretail,5,6,Zero (== 0),24,0,0,31.6
Aretail,5,6,< 0.5 (non-zero),0,,,0
Aretail,5,6,0.5 to < Q3,52,0.536532521,4.663212299,68.4
Aretail,5,7,Top 25% (>= Q3),9951,6.215147018,203.7111969,32.2
Aretail,5,7,Zero (== 0),2123,0,0,6.9
Aretail,5,7,< 0.5 (non-zero),3051,6.91414E-06,0.499648154,9.9
Aretail,5,7,0.5 to < Q3,15785,0.500089049,6.213941574,51
Aretail,5,8,Top 25% (>= Q3),6180,6.21837759,110.0540466,72.3
Aretail,5,8,Zero (== 0),0,,,0
Aretail,5,8,< 0.5 (non-zero),97,0.012853026,0.496991396,1.1
Aretail,5,8,0.5 to < Q3,2265,0.501530349,6.213950157,26.6
Aretail,5,9,Top 25% (>= Q3),130352,6.214152336,180.1844635,37
Aretail,5,9,Zero (== 0),17522,0,0,5
Aretail,5,9,< 0.5 (non-zero),24917,6.13928E-06,0.499907196,7.1
